,City,Country,Date,Latitude,Longitude,Maximum Temperature,Humidity,Cloud Level,Wind (m/h)
0,Bluff,NZ,1587583609,-46.6,168.33,48.99,85,82,1.99
1,Constitución,CL,1587583322,-35.33,-72.42,67.77,44,82,6.96
2,Kavieng,PG,1587583384,-2.57,150.8,81.25,76,100,0.72
3,Albany,US,1587583592,42.6,-73.97,45.0,28,75,34.45
4,Dingle,PH,1587583609,11.0,122.67,80.31,81,78,8.43
5,Dikson,RU,1587583609,73.51,80.55,16.88,96,64,9.91
6,Hobart,AU,1587583609,-42.88,147.33,50.0,76,94,8.05
7,Rikitea,PF,1587583609,-23.12,-134.97,75.4,78,100,15.17
8,Khatanga,RU,1587583609,71.97,102.5,20.53,97,90,2.55
9,Inhambane,MZ,1587583609,-23.86,35.38,75.2,78,3,12.46
10,Charyshskoye,RU,1587583610,51.4,83.56,55.63,34,75,6.58
11,Ushuaia,AR,1587583610,-54.8,-68.3,46.4,61,40,20.8
12,Tres Arroyos,AR,1587583610,-38.37,-60.28,63.57,39,82,9.4
13,Złocieniec,PL,1587583610,53.53,16.01,50.0,61,0,1.01
14,Salcedo,PH,1587583610,12.81,121.47,79.03,82,78,5.68
15,Cockburn Town,TC,1587583610,21.46,-71.14,80.01,75,0,3.67
16,Anadyr,RU,1587583610,64.75,177.48,0.0,84,0,4.47
17,George Town,MY,1587583330,5.41,100.34,78.8,100,40,2.77
18,Dehui,CN,1587583611,44.53,125.7,30.2,74,90,4.47
19,Hithadhoo,MV,1587583611,-0.6,73.08,84.38,70,97,7.11
20,Jamestown,US,1587583357,42.1,-79.24,37.0,47,1,13.87
21,Dāmghān,IR,1587583611,36.17,54.35,67.98,28,49,9.08
22,Kpandu,GH,1587583611,7.0,0.29,83.8,67,47,3.69
23,Saint Paul Harbor,US,1587583611,57.79,-152.41,44.6,81,90,5.82
24,Lebu,CL,1587583611,-37.62,-73.65,68.04,37,46,4.05
25,Atuona,PF,1587583611,-9.8,-139.03,81.45,69,0,13.15
26,Caravelas,BR,1587583611,-17.71,-39.25,79.14,71,38,14.47
27,Busselton,AU,1587583394,-33.65,115.33,57.99,81,12,9.8
28,Yellowknife,CA,1587583611,62.46,-114.35,25.0,41,90,5.82
29,Enid,US,1587583581,36.4,-97.88,62.6,100,90,11.41
30,New Norfolk,AU,1587583612,-42.78,147.06,50.0,79,97,4.9
31,Taiyuan,CN,1587583612,37.87,112.56,35.6,17,13,4.47
32,Faanui,PF,1587583612,-16.48,-151.75,80.8,77,15,17.11
33,Leningradskiy,RU,1587583612,69.38,178.42,11.08,90,98,5.53
34,Salinópolis,BR,1587583612,-0.61,-47.36,78.08,87,100,4.83
35,Sayyan,YE,1587583612,15.17,44.32,60.8,34,64,4.12
36,Puerto Ayora,EC,1587583612,-0.74,-90.35,87.8,62,20,14.99
37,Carnarvon,AU,1587583613,-24.87,113.63,71.6,83,24,11.41
38,Punta Arenas,CL,1587583435,-53.15,-70.92,48.2,81,75,8.05
39,Santander,ES,1587583613,43.46,-3.8,59.0,72,90,6.93
40,Zhangye,CN,1587583613,38.93,100.45,48.2,19,86,5.48
41,Cayenne,GF,1587583400,4.93,-52.33,80.6,83,75,3.36
42,Krasnosel'kup,RU,1587583613,65.7,82.47,34.95,91,100,13.78
43,Talnakh,RU,1587583613,69.49,88.4,26.6,86,75,4.47
44,Coahuayana Viejo,MX,1587583613,18.73,-103.68,84.2,51,40,5.12
45,Butaritari,KI,1587583613,3.07,172.79,83.52,78,62,14.07
